id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3d8zXYhG3sFx4uL9vv8IRu,Le Tango Neurasthénique,0,187040,0,['Georgius'],['0Yly6PvJghpLD3Lj8Kvpcj'],1922,0.564,0.433,2,-14.619,0,0.356,0.979,3.74E-06,0.226,0.601,72.003,4
3f9p4JTCiipdjDtKGZHqP4,Capítulo 2.17 - Banquero Anarquista,0,99000,0,['Fernando Pessoa'],['14jtPCOoNZwquk5wd9DxrY'],1922-06-01,0.695,0.186,7,-21.822,1,0.957,0.748,0.0,0.289,0.598,138.487,3
3fKqEoaJZODF7Xhh7qH4Wv,Capítulo 2.10 - Banquero Anarquista,0,106800,0,['Fernando Pessoa'],['14jtPCOoNZwquk5wd9DxrY'],1922-06-01,0.702,0.2,7,-22.999,1,0.961,0.642,0.0,0.36,0.773,81.152,4
3h8ioTTWfrC25hrHwQQpLc,All Or Nothing at All,0,164320,0,"['Dick Haymes', 'Harry James', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su', '5MpELOfAiq7aIBTij30phD', '6lXiGaWjISZnER53ZJe6QO']",1922,0.237,0.555,2,-6.611,0,0.0401,0.812,0.000262,0.366,0.292,92.213,3
3hkX4bDXEzd4w6aTiDkvrR,Keepsakes,0,180733,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,0.176,0.358,0,-9.713,0,0.0459,0.989,0.335,0.102,0.111,83.026,4
3rcerSJNOkfgB9CELqcRHL,Capítulo 1.5 - Banquero Anarquista,0,108200,0,['Fernando Pessoa'],['14jtPCOoNZwquk5wd9DxrY'],1922-06-01,0.773,0.155,9,-24.523,0,0.963,0.591,0.0,0.13,0.494,52.032,4
41UwGhrmaTNXguHZjRkZbC,Capítulo 2.2 - Banquero Anarquista,0,96400,0,['Fernando Pessoa'],['14jtPCOoNZwquk5wd9DxrY'],1922-06-01,0.646,0.26,9,-23.14,0,0.963,0.757,0.0,0.226,0.656,162.698,3
41sGC22d62AApd4dbiwhfr,Capítulo 2.11 - Banquero Anarquista,0,109400,0,['Fernando Pessoa'],['14jtPCOoNZwquk5wd9DxrY'],1922-06-01,0.78,0.18,1,-23.253,0,0.963,0.676,0.0,0.63,0.788,58.554,4
42lF2Ke3RUCoptNImf3SBj,I Ought to Know More About You,0,185653,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,0.607,0.253,9,-9.944,0,0.0414,0.989,1.99E-06,0.225,0.555,132.161,4
450NWyAOOQ4cOPrp7ZRp13,Pobre Madrecita - Remasterizado,0,183027,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1922-03-29,0.53,0.147,9,-22.26,1,0.0663,0.996,0.894,0.114,0.552,69.451,4
45QQGQZMPaVxlg0edajDgk,Primera Ilusión - Remasterizado,0,160267,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1922-03-21,0.388,0.202,8,-26.173,1,0.0517,0.993,0.917,0.111,0.83,181.105,3
45u40aoKGpIanpGW3ZTqMU,Capítulo 1.1 - Banquero Anarquista,0,114300,0,['Fernando Pessoa'],['14jtPCOoNZwquk5wd9DxrY'],1922-06-01,0.634,0.237,9,-21.09,0,0.961,0.482,0.0,0.152,0.634,169.956,4
46NvxfK2FwCMpMsRTBFkjR,Soft Lights and Sweet Music,0,171080,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,0.328,0.323,7,-12.78,1,0.0331,0.985,0.0395,0.357,0.153,125.653,3
4BKzNMRJdoDE6nsC4DbOEh,Chapter 1.4 - Szkolne przygody Pimpusia Sadełko,0,161100,0,['Maria Konopnicka'],['6NyLf1mINBZQcR8gWeE5kC'],1922-01-06,0.697,0.221,5,-19.756,0,0.956,0.597,0.0,0.335,0.393,103.309,3
4CjnVzvSu86vqI5gY8SjPx,Elle Vendait Des P'tits Gateaux,0,151573,0,['Félix Mayol'],['7DIlOK9L8d0IQ7Xk8aJxDW'],1922,0.716,0.301,5,-14.07,1,0.105,0.987,0.0,0.277,0.969,129.153,4
4DE7VBCgyTjqV0Plc9Ra0U,Hush-A-Bye (Wee Rose of Kilarney),0,156880,0,"['Dick Haymes', 'Victor Young', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su', '3HqN7Sq7rmpOEI9UV5ERuz', '6lXiGaWjISZnER53ZJe6QO']",1922,0.279,0.128,0,-19.793,1,0.0406,0.994,0.613,0.116,0.145,79.121,5
4FCWuuqM851ACz8p1b41fi,Capítulo 2.23 - Banquero Anarquista,0,97200,0,['Fernando Pessoa'],['14jtPCOoNZwquk5wd9DxrY'],1922-06-01,0.714,0.219,9,-21.185,0,0.954,0.52,0.0,0.222,0.54,110.822,3
4RR5RKLA2vTQxkWrMIeHem,Cap Polonio - Remasterizado,0,161080,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1922-03-21,0.541,0.161,3,-21.25,1,0.094,0.996,0.907,0.129,0.708,143.105,4
4UnGZFw9ot80NLBBBFImny,Chapter 1.3 - Szkolne przygody Pimpusia Sadełko,0,311000,0,['Maria Konopnicka'],['6NyLf1mINBZQcR8gWeE5kC'],1922-01-06,0.624,0.213,1,-19.016,1,0.958,0.764,0.0,0.151,0.382,74.428,3
4Vw0vSS31VCTYZXML5mMNX,Serenade of the Bells,0,181200,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,0.269,0.255,0,-9.041,1,0.0536,0.984,0.00263,0.178,0.154,79.186,4
4iy1fsAHBgR2STJjPDhjY2,Mes Parents Sont Venus Me Chercher,0,183840,0,['Fortugé'],['0hKr2636wsQI7PrARkAiaA'],1922,0.554,0.204,7,-14.764,1,0.0598,0.995,1.24E-06,0.153,0.62,97.337,4
4jhUNBqlFI21O7L0sKl507,As If I Didn't Have Enough On My Mind,0,148440,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,0.32,0.246,0,-15.79,1,0.0463,0.991,0.85,0.419,0.312,84.275,4
4m7uJS9VZlVnUG8oI1o0wx,Capítulo 2.22 - Banquero Anarquista,0,100600,0,['Fernando Pessoa'],['14jtPCOoNZwquk5wd9DxrY'],1922-06-01,0.677,0.314,0,-20.417,1,0.963,0.334,0.0,0.603,0.486,74.906,5
4sAPfFxCxKIF571z6JwL4r,De Mil Amores - Remasterizado,0,174453,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1922-03-29,0.442,0.177,9,-19.632,1,0.0571,0.994,0.000896,0.491,0.562,128.395,4
